explain,understand,1
delay,late,1
incidents,events,1
demand,order,1
badger,mole,1
glare,sun,1
boulders,stones,1
jungle,dense,1
laziness,idleness,1
nature,birds,1
epoch,age,1
biting,nails,1
tuner,radio,1
manufacture,make,1
manufacture,factory,1
stations,railway,1
wordsworth,daffodils,1
enervating,energy,1
experiment,science,1
telling,say,1
happened,when,1
sweater,warm,1
bee,sting,1
in need,desperate,1
sputnik,russia,1
firth,clyde,1
firth,of forth,1
bet,horse,1
bet,horses,1
probability,theory,1
dermis,epidermis,1
pedal,bicycle,1
pedal,cycle,1
democratic,free,1
tone,note,1
tone,voice,1
sniff,smell,1
tong,china,1
tong,ya bass,1
censor,sex,1
rodents,mice,1
last,end,1
last,night,1
nom,de plume,1
matches,football,1
knelt,sat,1
merry,xmas,1
merry,gay,1
boundary,edge,1
ergo,ego,1
laughter,sorrow,1
instant,now,1
players,cigarettes,1
assimilate,knowledge,1
drop,rain,1
drop,out,1
member,group,1
sphere,globe,1
sphere,round,1
average,man,1
expenses,cost,1
at last,the end,1
biter,nails,1
biter,food,1
molehill,ant,1
molehill,field,1
judicial,law,1
chemical,tube,1
snooker,balls,1
polar bear,ice,1
owed,nothing,1
peel,lemon,1
moth,light,1
sparkle,eyes,1
sparkle,fizz,1
single,one,1
peer,lord,1
lb,nothing,1
la,the,1
lo,hi,1
surgery,dentist,1
paste,meat,1
inspiration,idea,1
comrade,red,1
comrade,friend,1
colours,red,1
heat,cold,1
anaemic,pale,1
found,find,1
feather,bird,1
lotion,eye,1
thatch,straw,1
loose,find,1
tasty,delicious,1
weeds,work,1
bedding,clothes,1
remorse,sorrow,1
contain,water,1
true,honest,1
amber,light,1
breaker,sea,1
visible,clear,1
jumper,horse,1
mines,dirt,1
glacial,mountain,1
glacial,ice,1
wealth,rich,1
wealth,health,1
apt,right,1
ape,monkey,1
palate,food,1
palate,mouth,1
discover,america,1
pension,small,1
pension,off,1
greatness,huge,1
puppies,soft,1
larva,insect,1
larva,flow,1
profit,gain,1
profit,capitalist,1
spiral,round,1
astonish,astound,1
cheese,cheddar,1
corrosion,acid,1
possessions,own,1
freud,jung,1
stinking,rich,1
sterile,impotent,1
at all,nothing,1
at all,ever,1
squeal,yell,1
planet,jupiter,1
lane,home,1
indicate,point,1
crucible,tongs,1
from home,far,1
degree,university,1
weapon,gun,1
hounds,horse,1
hounds,dogs,1
lymph,fluid,1
lymph,blood,1
slave,chains,1
slave,master,1
smock,farmer,1
sanctuary,birds,1
chalet,snow,1
nightmares,dreams,1
nightmares,bed,1
departs,leaves,1
postcard,letter,1
trespass,land,1
monies,coins,1
abstain,miss,1
abstain,refrain,1
send,give,1
hippy,flowers,1
fathoms,deep,1
fathoms,depths,1
cocktail,cherry,1
variety,spice,1
variety,show,1
foreigner,alien,1
freeway,road,1
freeway,car,1
grape,juice,1
grape,wine,1
affluence,society,1
universe,space,1
pour,jug,1
pour,fill,1
rifle,range,1
painting,art,1
nickel,silver,1
implement,tool,1
marvellous,super,1
complicated,simple,1
dwell,house,1
pastoral,beethoven,1
chunk,pineapple,1
chunk,bit,1
zero,none,1
altar,marriage,1
strut,wing,1
qualm,worry,1
washing,day,1
washing,powder,1
log,cabin,1
lot,wife,1
reptile,slimy,1
casks,wine,1
remembered,memory,1
remembered,dead,1
nation,people,1
nation,england,1
now,present,1
now,never,1
battery,charge,1
flowery,perfume,1
please,don't,1
dry,wet,1
carnations,pink,1
carnations,flower,1
lioness,tiger,1
that,what,1
move,away,1
downwards,slope,1
cone,ice cream,1
floating,voter,1
floating,flotsam,1
peck,at,1
peck,pick,1
than,you,1
peacock,colour,1
ending,start,1
sneak,thief,1
specific,definite,1
settle,account,1
stubble,field,1
stubble,chin,1
stubble,growth,1
starch,sugar,1
request,answer,1
request,record,1
netball,net,1
kiss,me,1
sighted,seen,1
lives,people,1
spirits,gin,1
spirits,high,1
spirits,drink,1
descend,climb,1
descend,fall,1
descend,go down,1
sounds,silence,1
zebra,animal,1
zebra,africa,1
ether,alcohol,1
jazz,music,1
siphon,water,1
siphon,soda,1
cape,cloak,1
pentagon,america,1
cherubs,seraphim,1
gentle,rough,1
disbelieve,untrue,1
customs,official,1
customs,officer,1
wool,gather,1
lancet,magazine,1
talons,claws,1
interpolate,interrupt,1
betterment,gain,1
compassionate,kind,1
stature,height,1
funnels,filter,1
funnels,ships,1
fresh,daisy,1
dew,grass,1
hello,good-bye,1
transplants,heart,1
stupidity,daft,1
william,tell,1
william,conqueror,1
chopper,axe,1
chopper,meat,1
brittle,metal,1
brittle,toffee,1
duty,bound,1
lowering,lift,1
shepherd,crook,1
fluffy,wool,1
print,ink,1
print,word,1
onwards,christians,1
logic,think,1
healer,doctor,1
flute,whistle,1
loudly,noise,1
dive,bomb,1
dive,swim,1
stamen,petal,1
e,alphabet,1
oblige,thank you,1
chalk,dust,1
unite,nations,1
element,metal,1
debate,union,1
slurp,slop,1
soar,rise,1
simple,stupid,1
obsolete,gone,1
sailed,away,1
beach,sun,1
beach,comber,1
shanty,town,1
searching,find,1
restrained,stopped,1
bike,cycle,1
daze,haze,1
affected,touched,1
sentence,judge,1
weed,dandelion,1
dawdle,slow,1
azure,colour,1
crease,skirt,1
crease,bend,1
maple,leaf,1
camping,site,1
sorts,all,1
uneven,flat,1
reservoir,water,1
reservoir,dam,1
decline,and fall,1
outline,draw,1
outline,plan,1
clown,circus,1
blow,hit,1
my,name,1
my,husband,1
real,genuine,1
abrasive,rub,1
error,fault,1
ripple,pool,1
sludge,dirt,1
suite,carpet,1
reap,sow,1
gift,token,1
buses,cars,1
executive,businessman,1
executive,manager,1
spray,flowers,1
clothes-line,rope,1
person,man,1
skiing,slope,1
bountiful,ship,1
pavement,stones,1
arm-chair,cushion,1
put,there,1
put,shot,1
put,pull,1
bar,tender,1
itch,powder,1
texture,wool,1
baa,sheep,1
ban,the bomb,1
ban,forbid,1
hobby,sport,1
gratify,satisfy,1
coldness,frost,1
choppy,sea,1
choppy,seas,1
mouse,cat,1
mouse,mice,1
pansies,flower,1
pansies,people,1
misdeed,sin,1
jauntiness,gay,1
gangrene,disease,1
hexagonal,six-sided,1
hexagonal,geometry,1
attempt,suicide,1
